index,host,destination,start_timestamp,end_timestamp,nbytes_size,total_time
170.0,194.171.96.210,150.214.37.139,2016-05-05T00:24:05.916Z,2016-05-05T00:24:05.895Z,421074.0,0.021
171.0,194.171.96.182,194.171.101.195,2016-05-05T00:24:11.422Z,2016-05-05T00:24:08.461Z,1419632509.0,2.961
172.0,194.171.96.207,194.171.101.190,2016-05-05T00:24:00.864Z,2016-05-05T00:23:51.017Z,4195303850.0,9.847
173.0,194.171.96.206,194.171.101.195,2016-05-05T00:24:02.022Z,2016-05-05T00:23:59.188Z,1374328499.0,2.834
174.0,194.171.96.204,150.214.37.139,2016-05-05T00:24:50.194Z,2016-05-05T00:24:50.160Z,474366.0,0.034
175.0,194.171.96.210,192.108.47.154,2016-05-05T00:24:54.402Z,2016-05-05T00:24:44.145Z,179480566.0,10.257
176.0,194.171.96.209,192.108.46.9,2016-05-05T00:24:59.513Z,2016-05-05T00:24:44.099Z,439295737.0,15.414
177.0,194.171.96.186,193.48.99.199,2016-05-05T00:25:04.649Z,2016-05-05T00:24:58.138Z,708646457.0,6.511
178.0,194.171.96.185,193.48.99.20,2016-05-05T00:25:04.441Z,2016-05-05T00:24:58.104Z,701582225.0,6.337
179.0,194.171.96.177,129.187.131.64,2016-05-05T00:25:04.349Z,2016-05-05T00:24:47.164Z,763898404.0,17.185
180.0,194.171.96.174,192.108.46.31,2016-05-05T00:25:48.015Z,2016-05-05T00:24:44.405Z,3805828761.0,63.61
181.0,194.171.96.177,129.107.255.16,2016-05-05T00:26:52.325Z,2016-05-05T00:26:45.908Z,153974676.0,6.417
182.0,194.171.96.217,193.109.172.34,2016-05-05T00:27:10.565Z,2016-05-05T00:27:08.266Z,709108362.0,2.299
183.0,194.171.96.184,159.93.225.32,2016-05-05T00:27:13.186Z,2016-05-05T00:26:47.292Z,642691522.0,25.894
187.0,194.171.96.175,192.108.47.166,2016-05-05T00:28:30.795Z,2016-05-05T00:28:13.555Z,807992499.0,17.24
188.0,194.171.96.174,192.108.47.166,2016-05-05T00:28:25.055Z,2016-05-05T00:28:13.742Z,823121321.0,11.313
189.0,194.171.96.186,194.171.100.23,2016-05-05T00:28:53.694Z,2016-05-05T00:28:51.100Z,1715445163.0,2.594
190.0,194.171.96.184,192.41.236.58,2016-05-05T00:28:55.454Z,2016-05-05T00:28:26.395Z,642691522.0,29.059
